,Movie Id,Genre,Release Date,Rating,Summary,Shooting Location,Budget in USD,Awards,Popular
44,TOYHANVUR,Horror,07/07/1985,9.750175667,A group of college students get more than they bargained for when they spend a weekend at a haunted house.,New York,10354075.16,2,1
47,CORCILSLF,Documentary,05/08/1999,7.912876442,A documentary that sheds light on the devastating effects of climate change on our planet.,Paris,5722104.842,1,1
64,UBWUVIHEL,Adventure,08/05/1996,3.116052552,"A lost civilization is rediscovered deep within the Amazon rainforest, revealing secrets of the past.",Sydney,56013723.35,0,0
67,CGHMHKJHH,Fantasy,21/07/2018,8.811782937,A young inventor builds a time machine and embarks on a journey through history to save the future.,Paris,4422451.475,1,1
67,WMLWHTAMN,Fantasy,28/10/2011,5.25099084,A young inventor builds a time machine and embarks on a journey through history to save the future.,Sydney,116328972,0,0
9,REKCPGLOJ,Comedy,04.06.2013,8.676586335,A heartwarming story about a dog who brings two lonely people together.,Los Angeles,24061628.84,2,1
83,GSDOQQRPD,Western,25/12/1995,9.191819008,This historical drama explores the pivotal events that led to the American Revolution.,Toronto,86928963.63,0,0
21,VMIYHZNZJ,Adventure,23/03/2018,9.459478382,"In a post-apocalyptic world overrun by zombies, a group of survivors must band together to find sanctuary and rebuild civilization.",Los Angeles,46832856.87,1,0
36,XVHGPYBBL,Mystery,19/06/2002,9.125865784,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",New York,69874636.03,0,0
87,NNZFDYZTH,History,16/02/2019,9.232197451,A group of musicians from different backgrounds form a band and find success through their unique blend of musical styles.,Tokyo,40185170.27,1,0
70,VZTEXQGBB,Comedy,22/01/2018,8.91254808,"A talented chef travels the world, collecting culinary inspirations and sharing their passion for food with others.",Paris,84714903,1,0
88,XSPIAJYJM,Fantasy,19/11/1985,8.561357528,A team of explorers ventures into the depths of the ocean to uncover ancient ruins and unlock the secrets of the past.,Sydney,2832552.593,2,0
88,VFXKEREAP,Fantasy,29/07/1992,7.742612716,A team of explorers ventures into the depths of the ocean to uncover ancient ruins and unlock the secrets of the past.,Toronto,81284082.87,1,1
12,MCCASXIDK,Crime,26/12/2003,9.727618988,A young woman discovers she possesses magical abilities and must learn to control them before they endanger herself and others.,Toronto,23505,1,0
